report_date,descr_stage,report_text,event_date,date_source,assigned_carrier,ac_manufacturer,ac_family,ac_standard_name,ac_reported_name,ac_number_of_ac,geo_loc,geo_loc_ind,geo_loc2,geo_nlocs,geo_iso_code,geo_country,geo_lat,geo_long,descr_part,descr_action,descr_adjective,descr_condition
2005-12-28,,"British Airways B747 at Cardiff on Dec 28th 2005, smoke in the cockpit, only 2 passengers on board",2005-12-28,Extracted,british airways,boeing,747 family,B747,B747,1,Cardiff,at,Cardiff,1,GBR,UK,51.48,-3.18,passenger,smoke,,
2005-12-28,,"British Airways B747 at Cardiff on Dec 28th 2005, smoke in the cockpit, only 2 passengers on board",2005-12-28,Extracted,british[[:space:]]airways,boeing,747 family,B747,B747,1,Cardiff,at,Cardiff,1,GBR,UK,51.48,-3.18,passenger,smoke,,
2005-12-29,,"Bulgaria Air B737 above Adriatic Sea on Dec 28th 2005, 2 injuries in severe turbulence",2005-12-28,Extracted,bulgaria,boeing,737 family,B737,B737,1,,,,1,NA,NA,NA,NA,,injury;turbulence,severe,
2005-12-29,departure,"Delta Airlines B767 at Zürich on Dec 28th 2005, Engine failure on takeoff, safe return",2005-12-28,Extracted,delta airlines,boeing,767 family,B767,B767,1,Zürich,at,Zürich,1,CHE,Switzerland,47.464699,8.54917,,failure;return,,
2005-12-29,departure,"Delta Airlines B767 at Zürich on Dec 28th 2005, Engine failure on takeoff, safe return",2005-12-28,Extracted,delta,boeing,767 family,B767,B767,1,Zürich,at,Zürich,1,CHE,Switzerland,47.464699,8.54917,,failure;return,,
2005-12-29,departure,"Delta Airlines B767 at Zürich on Dec 28th 2005, Engine failure on takeoff, safe return",2005-12-28,Extracted,delta[[:space:]]airlines,boeing,767 family,B767,B767,1,Zürich,at,Zürich,1,CHE,Switzerland,47.464699,8.54917,,failure;return,,
2005-12-29,approach,"Southwest B737 at Chicago Midway on Dec 29th 2005, bird sucked into engine, safe landing at O'Hare",2005-12-29,Extracted,southwest,boeing,737 family,B737,B737,1,Chicago Midway,at,Chicago Midway,1,NA,NA,NA,NA,,bird_strike,,
2005-12-30,departure,"British Airways B747 at New York (JFK) on Dec 30th 2005, during takeoff ATC saw flames out of engine",2005-12-30,Extracted,british airways,boeing,747 family,B747,B747,1,New York,at,New York,1,USA,USA,40.67,-73.94,atc,fire,,
2005-12-30,departure,"British Airways B747 at New York (JFK) on Dec 30th 2005, during takeoff ATC saw flames out of engine",2005-12-30,Extracted,british[[:space:]]airways,boeing,747 family,B747,B747,1,New York,at,New York,1,USA,USA,40.67,-73.94,atc,fire,,
2005-12-31,,"British Airways A320 at Berlin Tegel on Dec 30th 2005, passengers filed unlawful detention against Captain",2005-12-30,Extracted,british airways,airbus,A320 family,A320,A320,1,Berlin Tegel,at,Berlin Tegel,1,NA,NA,NA,NA,passenger,,,
2005-12-31,,"British Airways A320 at Berlin Tegel on Dec 30th 2005, passengers filed unlawful detention against Captain",2005-12-30,Extracted,british[[:space:]]airways,airbus,A320 family,A320,A320,1,Berlin Tegel,at,Berlin Tegel,1,NA,NA,NA,NA,passenger,,,
2005-12-31,approach;runway,"WestJet B737 at Halifax on Dec 25th 2005, left wing hit runway during landing",2005-12-25,Extracted,westjet,boeing,737 family,B737,B737,1,Halifax,at,Halifax,1,CAN,Canada,44.67,-63.61,, hit,,
2006-01-02,approach;departure,"Air Austral B777 overhead Indian Ocean on Jan 1st 2006, takeoff with 170, landing with 171 passengers",2006-01-01,Extracted,air austral,boeing,777 family,B777,B777,1,Indian Ocean,overhead,Indian Ocean,1,NA,NA,NA,NA,passenger,,,
2006-01-02,approach;departure,"Air Austral B777 overhead Indian Ocean on Jan 1st 2006, takeoff with 170, landing with 171 passengers",2006-01-01,Extracted,austral,boeing,777 family,B777,B777,1,Indian Ocean,overhead,Indian Ocean,1,NA,NA,NA,NA,passenger,,,
2006-01-05,,"Austrian Airlines Fokker 70 near Graz on Jan 5th 2006, engine lost power",2006-01-05,Extracted,austrian,fokker,F70 family,F70,Fokker 70,1,,,,1,NA,NA,NA,NA,,lost power,,
