orig_text,reporting_date
"Galapagos B722 at Guayaquil on Apr 18th 2008, hydraulics problem",2008-04-21
"Go! CRJ2 at Honolulu on Apr 19th 2008, unsafe gear indication",2008-04-21
"Gulf A320 and India B738 near Kochi on Apr 18th 2008, reportedly lost separation, Gulf Air denies",2008-04-21
"Jetairfly B734 at Liege on Apr 21st 2008, burst tyre",2008-04-21
"Sun Express B752 near Istanbul on Apr 17th 2008, engine failure",2008-04-21
"Canada A320 at Norfolk on Apr 21st 2008, medical emergency",2008-04-22
"Kenya B733 at Entebbe on Apr 21st 2008, overshot runway",2008-04-22
"OceanAir F100 at  Cuiabá on Apr 21st 2008, unsafe gear indication",2008-04-22
"United B752 near Las Vegas on Apr 15th 20008, galley fire enroute",2008-04-22
"Virgin A343 near  Malta on Apr 21st 2008, baby emergency",2008-04-22
"American B752 at Los Angeles on Apr 17th 2008, smell before departure, smoke after departure",2008-04-23
Big plane makers in rare agreement,2008-04-23
"Chautauqua E135 near Mascoutah on Apr 22nd 2008, engine failure",2008-04-23
"Emirates A332 near Cologne on Apr 22nd 2008, diversion",2008-04-23
"Expressjet E135 near Baltimore on Apr 20th 2008, lightning strike",2008-04-23
"Lufthansa B744 near Shannon on Apr 22nd 2008, medical emergcency, child dies",2008-04-23
"Manx DH8B at Belfast on Apr 22nd 2008, flat tyre",2008-04-23
"Rico Linhas E110 near Coari on Apr 21st 2008, engine failure, slid off runway",2008-04-23
"Romavia B462 at Bucharest on Apr 22nd 2008, veered off runway, gear collapse (video)",2008-04-23
"Aserca DC93 over Venezuela on Apr 16th 2008, supposed fuel leak (video)",2008-04-24
"Cayman DHC6 at Cayman Brac on Apr 23rd 2008, engine on fire",2008-04-24
"Chautauqua E145 near Washington on Apr 20th 2008, lightning strike",2008-04-24
"Easyjet A319 at Milano on Apr 17th 2008, technical problems",2008-04-24
Edinburgh closed for 3 hours on Apr 23rd 2008 due to hole in runway,2008-04-24
"Piedmont DH8C at McArthur on Apr 22nd 2008, unsafe gear indication",2008-04-24
"SAS RJ85 at London on Apr 22nd 2008, gear problems",2008-04-24
"United B744 over Pacific on Apr 23rd 2008, unruly passenger",2008-04-24
"American B752 near Tulsa on Apr 25th 2008, hydraulics problems",2008-04-25
"Atlantic Southeast CRJ7 at Memphis on Apr 24th 2008, engine trouble",2008-04-25
"Citation 501 at   Biggin Hill on Mar 30th 2008, struck houses",2008-04-25
"First Choice B763 near San Juan on Apr 23rd 2008, medical emergency, baby dies",2008-04-25
"Flyglobespan B73G at Malaga on Apr 24th 2008, foolish joke halts takeoff",2008-04-25
"Swiss RJ1H at Zurich on Apr 23rd 2008, hydraulics problems",2008-04-25
Thilert Aircraft Engine GmbH applies for insolvency,2008-04-25
"British Airways B744 at Heathrow on Mar 21st 2008, rejected takeoff after loud bangs",2008-04-26
"FlyBE E145 near London on Apr 22nd 2008, smoke in cabine before takeoff, smoke in cockpit after takeoff",2008-04-26
"United B752 near Pittsburgh on Apr 25th 2008, pressurization problem",2008-04-26
"Air India B738 at Kozhikode on Apr 27th 2008, fumes in cockpit",2008-04-27
"British Airways B763 near Venice on Apr 26th 2008, smoke in cockpit",2008-04-27
"British Airways B772 near Heathrow on Apr 26th 2008, squawk 7700",2008-04-27
"Iberia A343 near Madrid on Apr 24th 2008, technical problems prompt return",2008-04-27
"EOS Airlines files for Chapter 11, Apr 26th 2008",2008-04-28
"Lost  laptop of  a pilot causes havoc at Dulles, Apr 24th 2008",2008-04-28
"PIA B772 at Islamabad on Apr 27th 2008, bomb hoax",2008-04-28
Referendum to save Berlin Tempelhof failed,2008-04-28
"RyanAir B738 at Billund on Apr 23rd 2008, bomb hoax",2008-04-28
"Singapore B773 near Delhi on Apr 25th 2008, engine trouble, IFSD",2008-04-29
"Sunexpress B738 at Adana on Apr 28th 2008, 32 passengers thrown off plane",2008-04-29
"TNT B733 at EMA and BHX on June 15th 2006, failed autoland at EMA, lost right main gear and diverted to BHX",2008-04-29
"US Airways A320 near Bermuda on Apr 26th 2008, smoke in cabin",2008-04-29
"Arik Air CRJ9 at Apr 30th 2008, weather radar failure",2008-04-30
"British Airways B772 near Gatwick on Apr 30th 2008, squawk 7700",2008-04-30
"Easyjet A319 at Glasgow on Apr 29th 2008, lightning strike on takeoff",2008-04-30
"FAA under pressure over Mylar insulation, Apr 30th 2008",2008-04-30
"Flyglobespan B73G at Edinburgh on Apr 28th 2008, two aborted landings, diversion",2008-04-30
"Mistral Air B733 at Lamezia Terme on Apr 29th 2008, blew two tires on landing",2008-04-30
"Nationwide B732 at Cape Town on Nov 7th 2007, engine detached from wing after  reverser deployment during takeoff",2008-04-30
"RyanAir B738 at Lodz on Apr 29th 2008, departed paved surface",2008-04-30
"VLM F50 near  Shannon on  April 29th 2008, in flight shut down (IFSD)",2008-04-30
"Aeroflot B763 over Canada on Apr 30th 2008, intoxicated passenger dies",2008-05-01
"Comair CRJ1 at Sioux Falls on Apr 29th 2008, hydraulics leak and landing gear problems",2008-05-01
"Spirit Airlines A319 at Ft. Lauderdale on Apr 29th 2008, bomb hoax",2008-05-01
"Terminal at Memphis International Airport without power for 14 hours, Apr 30th 2008",2008-05-01
"Air Dominicana suspends inaugural flight, May 2nd 2008",2008-05-02
"Air Transport International DC87 at Wichita on May 1st 2008, engine failure",2008-05-02
Aloha Cargo continues operation,2008-05-02
"Iberia A346 at Quito on Nov 9th 2007, runway excursion",2008-05-02
"Jetblue Airways E190 over Atlantic on May 1st 2008, return to JFK",2008-05-02
"Monarch A321 near Birmingham on May 1st 2008, squawk 7700",2008-05-02
"Onur MD88 at Antalya on May 1st 2008, smoke from engine, evacuation",2008-05-02
"US Air Marshals on the ""No-Fly"" list",2008-05-02
"Aerocondor C208GC near Nazca on Apr 27th 2008, emergency landing on Panamericana",2008-05-03
"Air Canada A333 near Iqualuit on May 1st 2008, medical emergency",2008-05-03
"Air Canada A333 near Montreal on Apr 30th 2008, engine failure",2008-05-03
"Air Canada A343 at Toronto on May 1st 2008, gear doors did not close",2008-05-03
"Air Norterra DH8A at Yellowknife on May 1st 2008, TCAS RA",2008-05-03
"Closure of Sheffield City Airport, UK",2008-05-03
"Compass E175 at Regina on May 2nd 2008, medical emergency",2008-05-03
"Jazz DH8C at Calgary on May 1st 2008, smoke before departure, evacuation",2008-05-03
"Kenya Airways E170 at Kisumu on May 1st 2008, rejected takeoff after engine failure",2008-05-03
"Northwest B752 and Emirates B772 near Saint John on May 1st 2008, loss of separation",2008-05-03
"Prince Edward Air SF34 at Saint John on May 1st 2008, hydraulics leak, brakes failure",2008-05-03
"Sunwing B707 at Toronto on Apr 30th 2008, burning smell on initial climb",2008-05-03
"Thomsonfly B733 at Ibiza on May 2nd 2008, smoke in cabin",2008-05-03
"US Airways A333 near St. John on May 2nd 2008, engine malfunction",2008-05-03
"Zoom Airlines B752 overhead London (CA) on Apr 30th 2008, loss of cabin pressure",2008-05-03
"Alaska Airlines B738 at Anchorage on May 3rd 2008, hit geese on takeoff",2008-05-04
"Delta Airlines B772 at Mumbai on May 2nd 2008, US TSA warns of terror attack",2008-05-04
"Druk Air A319 at Bangkok on May 1st 2008, cracked windshield",2008-05-04
International terminal at Perth closed after suspicious package was found,2008-05-04
"Jetblue Airways E190 at Ft. Meyers on May 3rd 2008, flapless landing",2008-05-04
"Allegiant Air MD88 at Ft. Collins on May 4th 2008, overran runway",2008-05-05
"Biman Bangladesh A310 at Dhaka on May 4th 2008, went off runway at taxi speed",2008-05-05
"Kenya Airways B737 at  Douala on May 4th 2007, crashed shortly after takeoff in thunderstorms",2008-05-05
"RyanAir B738 at Brno on May 3rd 2008, bird ingested into engine",2008-05-05
"Air Canada B763 and A322 at Toronto on May 5th 2008, laser pointed at cockpits",2008-05-06
"Air Inuit DH8A at La Grande on May 2nd 2008, engine malfunction",2008-05-06
"British Airways A319 near Nottingham on May 5th 2008, squawk 7700",2008-05-06
FAA certifies Embraer ERJ-190 for 120 minutes ETOPS,2008-05-06
"HawkAir DH8A at Vancouver on May 4th 2008, TCAS RA, no conflicting traffic",2008-05-06
"Jazz DH8A near Sudbury on May 3rd 2008, smoke in cockpit",2008-05-06
"jet2.com B733 at Blackpool on May 4th 2008, aborted landing due to security breach at fence",2008-05-06
"Phuket Air B743 at Jeddah on May 5th 2008, one body gear did not deploy",2008-05-06
"PSA Airlines CRJ2 near Knoxville on May 5th 2008, hydraulics problem",2008-05-06
"SAS MD82 at Milano Linate on May 4th 2008, gear did not retract",2008-05-06
"Virgin Blue B738 and Jetstar A320 at Launceston on May 1st 2008, tower empty, loss of separation after go-arounds",2008-05-06
"Asian Spirit DHC7 near Masbate on May 7th 2008, propeller separated",2008-05-07
"BMI Baby B733 at Malaga on May 6th 2008, gear problems",2008-05-07
"China Southern A319 and Xiamen B737 at Dalian on Apr 30th 2008, runway incursion, near miss",2008-05-07
FAA missed more than 100 airline inspections,2008-05-07
"Jazz DH8C near Calgary on May 6th 2008, low oil pressure results in IFSD",2008-05-07
"Jet Airways A332 at Toronto on May 5th 2008, additional security check expires crew duty time",2008-05-07
"PSA Airlines CRJ2 at Lexington on May 6th 2008, flaps problem",2008-05-07
"Southern Sudan Air Connection B190 near Rumbek on May 2nd 2008, double engine failure",2008-05-07
"UPS A306 at Calgary on May 6th 2008, flaps problem",2008-05-07
"Virgin Express B734 near Lisboa on May 6th 2008, passenger dies",2008-05-07
"Aer Lingus A333 near Boston on May 7th 2008, medical emergency",2008-05-08
"Air Canada A320 at St John's on May 6th 2008, problem with flight controls indications",2008-05-08
"Air Canada B772 near Toronto on May 6th 2008, smoke in cabin",2008-05-08
"Air Canada E190 at Edmonton on May 1st 2008, 7-8 bird strikes on landing",2008-05-08
"Air Zimbabwe B762 at Lilongwe on May 7th 2008, bird strike, rejected takeoff, all main tyres burst",2008-05-08
"American B763 at Dallas on  Apr 20th 2008, panel 1*2meters came off",2008-05-08
Chilean volcano shuts down most of Argentine's air traffic,2008-05-08
"Comair (SA) B732 at Cape Town on May 3rd 2008, tail strike",2008-05-08
"Jazz CRJ2 at Saskatoon on May 7th 2008, flaps problem",2008-05-08
"Jet Connect B733 at Christchurch on May 8th 2008, flaps problems",2008-05-08
"KLM MD11 at Vancouver on May 6th 2008, engine fire indication after touch down",2008-05-08
"Republic Airline E175 near Greensboro on May 5th 2008, instrumentation problems",2008-05-08
"Swiss A320 at Zurich on May 8th 2008, hydraulics problem",2008-05-08
"4 (!) Aircraft at Toronto on May 8th 2008, loss of separation",2008-05-09
"Aerolineas Argentinas MD83 at Buenos Aires, Santiago and Tucuman on May 7th 2008, serious delays due technical snags",2008-05-09
"Corsair A332 near Eindhoven on May 9th 2008, engine overheated",2008-05-09
"IATA Aviation Safety Report 2008: accident rate 2007 up, fewer fatalities",2008-05-09
"Air Canada E190 at St. John on May 8th 2008, could not retract gear",2008-05-10
Air India suspends Kolkata-London flights due to lack of pilots,2008-05-10
"Bearskin Lake SW4 at Sudbury on May 8th 2008, landing gear problems",2008-05-10
"China Eastern A333 near Hong Kong on May 9th 2008, turbulence injures 9",2008-05-10
"China Eastern B738 at Beijing on May 10th 2008, APU fire warning, evacuation injures 3",2008-05-10
"Manx2 SW4 near Bristol on May 8th 2008, landing gear problems",2008-05-10
"Spicejet B738 at New Delhi on May 5th 2008, runway incursion, near miss",2008-05-10
Tornado hits Greensboro airport,2008-05-10
"Monarch A321 near Isle of Wight on May 11th 2008, squawk 7700",2008-05-11
"FAA mandates replacement of elevator gust locks on E135 and E145, May 8th 2008",2008-05-12
New competition for Airbus and Boeing from China?,2008-05-12
"Saudi MD90 at Tabuk on May 7th 2008, gear problems",2008-05-12
"Silkair A319 over China on May 12th 2008, diversion due to earthquake",2008-05-12
"Storm hits Memphis Airport May 10th 2008, 4th Fedex airplane damaged this weekend",2008-05-12
"Air Canada A321 near Winnipeg on  May 12th 2008, smoke in cabin, FA injured",2008-05-13
"Ameriflight BE99 at Phoenix on May 12th 2008, gear up landing",2008-05-13
"Atlantic Airways L188 at Stansted on Mar 19th 2007, 3 engines out",2008-05-13
"Aurigny AT72 at Gatwick on May 11th 2008,  smoke in cockpit",2008-05-13
"Chengdu, Chongqing and Xi'an airports closed due to earthquake",2008-05-13
"Continental B752 near Shannon on May 9th 2008, engine trouble, IFSD",2008-05-13
"Delta Airlines B763 over Atlantic on May 12th 2008, medical emergency",2008-05-13
"Jazz DH8C at Vancouver on May 9th 2008, IFSD",2008-05-13
Single European Sky rising,2008-05-13
"Virgin Atlantic A346 near Shannon on May 12th 2008, medical emergency",2008-05-13
"Zoom Airlines B752 near Goose Bay on May 11th 2008, medical emergency",2008-05-13
"Air India A320 near Mumbai on May 13th 2008, hydraulics problems",2008-05-14
"Islena Airlines SH360 at Tegucigalpa on May 8th 2008, burst tyre on landing",2008-05-14
"Jazz DH8A at Montreal on May 12th 2008, IFSD",2008-05-14
"Northwest B752 near Las Vegas on May 12th 2008, lost wing panel, hydraulics problems",2008-05-14
"Qantas B738 at Sydney on May 13th 2008, rejected takeoff",2008-05-14
"American A306 near Bermuda on  May 7th 2008, fuel imbalance",2008-05-15
"American B763 over Atlantic on May 13th 2008, fuel indicator problem",2008-05-15
"China Southern B73G near Wenzhou on May 13th 2008, medical emergency",2008-05-15
"Cubana T204 near Toronto on May 13th 2008, navigational equipment problem",2008-05-15
"Euromanx ceased operation, Manx2 and Flybe throw life-line to stranded passengers",2008-05-15
"Finncomm AT42 at Seinäjoki on Jan 1st 2007, 4 go-arounds due to inexperienced crew",2008-05-15
"Indian Airlines A320 at Kolkata on May 13th 2008, bird strike on takeoff",2008-05-15
"Jetblue Airways E190 over Atlantic on May 12th 2008, return due to storm",2008-05-15
"Norwegian Air Shuttle B733 at Prague on May 14th 2008, APU fire alert",2008-05-15
"Qantas B734 at Darwin on Sep 24th 2006, engine failure",2008-05-15
"Spicejet B738 at Kolkata on  May 13th 2008, engine trouble",2008-05-15
"Air Canada B763 over Hudson Bay on May 15th 2008, medical emergency",2008-05-16
"Delta Airlines B772 at Atlanta on May 15th, cargo door damaged",2008-05-16
"Ethopian B752 at Heathrow on May 15th 2008, burst tyre on landing",2008-05-16
"Expressjet E145 near Tulsa on May 14th 2008, turbulence injures 5",2008-05-16
"First Air AT43 at Iqaluit on May 15th 2008, return",2008-05-16
"Hawaiian B763 near Hawaii on May 14th 2008, engine failure",2008-05-16
"Jetblue Airways A320 at Salt Lake City on May 14th 2008, birdstrike on landing",2008-05-16
"Northwest B744 over Alaska on May 15th 2008, hydraulics problems",2008-05-16
"Thomas Cook B752 over Mediterranean on May 13th 2008, unruly passengers",2008-05-16
"Air India B772 at Mumbai on May 16th 2008, nose gear collapsed at gate",2008-05-17
"Flybe E145 at Edinburgh on May 16th 2008, burst tyre alert",2008-05-17
Former Crossair CEOs acquitted in trial about Basserdorf crash,2008-05-17
"Hawaiian B763 at Seattle on May 16th 2008, loose wing panel",2008-05-17
Indonesia aims to read and analyse black boxes,2008-05-17
"Jazz CRJ2 at Thunder Bay on May 15th 2008, bird strike, rejected takeoff",2008-05-17
"Monarch B752 near Manchester on May 16th 2008, squawk 7700",2008-05-17
"Morningstar B722 at Winnipeg on May 15th 2008, gear problems",2008-05-17
"Qantas A333 at Singapore on  May 16th 2008, engine fire during taxi",2008-05-17
"RyanAir B738 at Carcassonne on May 17th 2008, winglet struck building during taxi",2008-05-18
"United A319 near Grand Junction on May 17th 2008, medical emergency",2008-05-18
"USA 3000 A320 at Miami on May 17th 2008, scraped runway",2008-05-18
"American MD83 near Amarillo on May 17th 2008, smoke in cabin",2008-05-19
"Russian Superjet-100 takes the skies, May 19th 2008",2008-05-19
"Air France B772 near Berlin on May 19th 2008, medical emergency",2008-05-20
"American B752 at Los Angeles on May 19th 2008, autopilot failure",2008-05-20
"Emirates B77W near Istanbul on May 18th 2008, technical diversion",2008-05-20
"LAN Peru A319 at Cuzco on May 16th 2008, computer failure",2008-05-20
"Lufthansa A333 at Munich on May 16th 2008, hydraulics problems",2008-05-20
"Southwest B733 at Norfolk on May 17th 2008, bird strike",2008-05-20
"TAP Air A332 at Terceira on May 15th 2008, small technical problem prevents departure",2008-05-20
"United B733 at Chicago on May 19th 2008, hydraulics problems",2008-05-20
"Air Deccan A320 at Ranchi on May 20th 2008, stair flies into wing",2008-05-21
"Alaska Airlines B73H near Ketchikan on May 19th 2008, fuel transfer problem",2008-05-21
"American MD83 near Ontario on May 19th 2008, mechanical problem",2008-05-21
"Atlantic Southeast CRJ2 at Baton Rouge on May 18th 2008, engine fire, rejected takeoff",2008-05-21
"Calm Air SF34 at Thompson on May 21st 2008, engine shut down",2008-05-21
"First Air AT43 at Yellowknife on May 18th 2008, engine failure",2008-05-21
"Indian Airlines A320 at Mumbai on May 20th 2008, runway incursion",2008-05-21
"Indian Airlines A320 at Nagpur on May 20th 2008, collision with pig",2008-05-21
"Kalitta B741 over Atlantic on May 17th 2008, engine failure",2008-05-21
"Lufthansa B744 near Goose Bay on May 18th 2008, medical emergency",2008-05-21
"Northwest DC93 at Toronto on May 19th 2008, electrical problem",2008-05-21
"Thomas Cook A332 at Manchester on May 17th 2008, airbridge collided with airplane",2008-05-21
"TÜV Germany  says, babies on  lap become projectiles",2008-05-21
"Virgin Atlantic B744 near Winnipeg on May 17th 2008, medical emergency",2008-05-21
"Air Canada A319 at Toronto on May 21st 2008, laser pointed at cockpit",2008-05-22
"Air Canada E190 and Air Transat A310 near Montreal on May 19th 2008, loss of separation, TCAS RA",2008-05-22
"Air France A343 near Blackpool on May 21st 2008, escort by fighters, baggage/passenger loading error",2008-05-22
"Expressjet E145 at Houston on May 21st 2008, two tyres blew",2008-05-22
"Qantas B744 near Sydney on Feb 3rd  2007, design flaw caused engine failure",2008-05-22
"American MD83 near Tulsa on May 23rd 2008, generator failure",2008-05-23
"Atlantic Southeast CRJ1 at Ottawa on May 21st 2008, flaps problems",2008-05-23
"Canadian North B732 at Saskatoon on May 22nd 2008, engine ablaze on landing",2008-05-23
NTSB requires B757 wing panel inspections,2008-05-23
"Pinnacle CRJ9 at Memphis on May 22nd 2008, mist out of engines",2008-05-23
"RyanAir B738 near Bremen on May 23rd 2008, medical emergency",2008-05-23
"Swiftair AT72 at Fuerteventura on May 19th 2008, firearm shot",2008-05-23
"Asia Pacific Airlines B722 at Pohnpei on May 16th 2008, overran runway",2008-05-24
"Canadian North DH8A near Yellowknife on May 19th 2008, hydraulics failure",2008-05-24
"Monarch A321 near Paphos on May 21st 2008, indication of open cargo door",2008-05-24
"New takeoff procedure at Newark in place, but not (yet) published by FAA",2008-05-24
"TAM Linhas A319 at Ilheus on May 22nd 2008, one reverser failed",2008-05-24
"Air Mauritius A343 at Zurich on May 23rd 2008, nosewheel steering issues",2008-05-25
"Air Zimbabwe B762 at Harare on May 21st 2008, presidential order diverts plane",2008-05-25
"Northwest A333 near St. John's on May 25th 2008, medical emergency",2008-05-25
"Alitalia MD80 at Genoa on May 22nd 2008, engine failure",2008-05-26
"SAS A343 at Copenhagen on May 24th 2008, rejected takeoff at high speed",2008-05-26
"Southwest B733 at Orlando on May 25th 2008, electrical smoke",2008-05-26
"Aer Lingus A332 over Hudson Bay on May 23rd 2008, engine failure",2008-05-27
"Air Canada A333 near Goose Bay on May 26th 2008, medical emergency",2008-05-27
"Ambulance kills ground handler at New Delhi, May 25th 2008",2008-05-27
"British Airways B744 near Goose Bay on May 26th 2008, medical emergency",2008-05-27
"Continental B738 near Houston on May 26th 2008, model rocket passes flight path",2008-05-27
"Delta Airlines MD88 at New York on May 26th 2008, hydraulics problems",2008-05-27
"Great Business Lakes AN-32 at Goma on May 26th 2008, engine failure, departed runway",2008-05-27
"Indian Airlines A320 at Bangalore on May 26th 2008, aircraft went missing on tarmac",2008-05-27
"Prince Edward Air B190 at Moncton on May 21st 2008, landing gear problems",2008-05-27
"Singapore B744 near Bhaku on May 24th 2008, medical emergency",2008-05-27
"Virgin Atlantic A346 at JFK on May 26th 2008, bird strike, cracked windshield",2008-05-27
"Atlantic Southeast CRJ2 near Harrisburg on May 27th 2008, flap problems",2008-05-28
"British  Airways B772 near St. John's on May 26th 2008, medical emergency",2008-05-28
"ConocoPhillips B732 at Kuparuk on May 23rd 2008, bird strike",2008-05-28
"Continental B733 at West Palm Beach on May 24th 2008, landing gear problems",2008-05-28
"Delta Airlines MD88 at Boston on May 23rd 2008, landed with open gear doors",2008-05-28
"Monarch A332 at Sharm el Sheikh on May 25th 2008, 47 hours delay",2008-05-28
"Spanair MD82 at Malaga on May 27th 2008, could not lower gear",2008-05-28
"Air Canada A319 near Sault Ste Marie on May 21st 2008, rapid loss of pressurization",2008-05-29
"Air Pacific B73H near Honiara on May 29th 2008, turbulence injures four passengers",2008-05-29
"Air Transat A333 at Paris CDG on May 23rd 2008, rejected takeoff at high speed",2008-05-29
"American B752 near Orlando on May 28th 2008, engine problem",2008-05-29
"KLM Cityhopper F100 at Birmingham on May 28th 2008, was struck by push back truck",2008-05-29
"Korean Air B772 near Seoul on May 29th 2008, passenger found hanged",2008-05-29
"Sao Paolo Guarulhos under ""balloon attack"", May 28th 2008",2008-05-29
"Air France A332 at Conakry on May 28th 2008, diverted due to gunfire",2008-05-30
"British Airways B772 at Chennai on May 26th 2008, could not lower gear",2008-05-30
"British Airways B772 near St. John's on May 28th 2008, medical emergency",2008-05-30
"First Choice B752 at Manchester on May 29th 2008, nose gear trouble",2008-05-30
"Jetlite B738 at Mumbai on May 26th 2008, air conditioning failed",2008-05-30
"Lufthansa A306 near Moscow on May 29th 2008, generator failure",2008-05-30
"RyanAir B738 near Liverpool on May 27th 2008, diverted because of malfunction of fire engine",2008-05-30
"Southwest B73G at Kansas on May 29th 2008, bomb alert",2008-05-30
"TAM Linhas A332 near Santo Domingo on May 29th 2008, engine shutdown",2008-05-30
"United B744 near Hawaii on May 27th 2008, medical emergency",2008-05-30
"US Airways A333 at Manchester on May 29th 2008, rejected takeoff",2008-05-30
"British Airways B744 near Las Vegas on May 29th 2008, medical emergency",2008-05-31
"Northwest DC95 at  Toronto on May 28th 2008, engine trouble",2008-05-31
"United Airlines A320 near Los Angeles on May 29th 2008, flight attendant injured",2008-05-31
"Allegiant Air MD83 at Bellingham on May 29th 2008, slats problem",2008-06-01
"British Airways B744 near Calgary on May 29th 2008, medical emergency",2008-06-01
"Cimber CRJ2 at Copenhagen on May 29th 2008, burst tyre on takeoff",2008-06-01
"Southwest B73G at Chicago on May 30th 2008, smoke in cockpit",2008-06-01
"Aeromexiko B772 at Shanghai on June 1st 2008, engine failure at takeoff",2008-06-02
"American MD82 at Dallas on June 1st 2008, window pane went through engine",2008-06-02
"Pakistan International Airlines B773 near Bahrain on May 30th 2008, cracked cockpit window",2008-06-02
"Kuwait Airways A320 at Kuwait on May 31st 2008, hydraulics failure",2008-06-03
"Lufthansa A343 near  St. John's on May 31st 2008, medical emergency",2008-06-03
"Shuttle America E170 near Toronto on June 1st 2008, low fuel pressure",2008-06-03
"Shuttle America E170 near Toronto on June 2nd 2008, fuel pump problems",2008-06-03
"Swiss A332 at Boston on May 31st 2008, hydraulics problems force rejected  takeoff and 46 hours delay",2008-06-03
"TAM A320 near Sao Paolo on June 2nd 2008, unruly passenger",2008-06-03
"Westjet B73W near Swift Current on May 30th 2008, low oil pressure",2008-06-03
"Air Canada B762 at Toronto on June 2nd 2008, lost a piece",2008-06-04
"Alitalia MD80 at Milano on May 29th 2008, rejected takeoff",2008-06-04
"Alpine Air B190 at Billings on May 23rd 2008, impacted warehouse shortly after departure",2008-06-04
"British Airways B772 near St. John's on June 2nd 2008, smoke in cockpit, fumes in cabin",2008-06-04
"JAT Airways B733 at Rome on June 1st 2008, technical problems prompt return",2008-06-04
"Jazz DH8C near Edmonton on June 2nd 2008, engine trouble, smoke in cabin",2008-06-04
London City shut over WWII bomb alert,2008-06-04
"Lufthansa A343 at Munich on June 2nd 2008, smoke in toilet",2008-06-04
"Air Canada B763 near Osaka on May 27th 2008, coffeemaker forces emergency landing",2008-06-05
"Air Canada B763 over Pacific on May 21st 2008, turbulence injures service director",2008-06-05
"Korean Airlines B744 over Canada on May 28th 2008, baby ""air born""",2008-06-05
"Pinnacle CRJ2 at Green Bay on June 4th 2008, hydraulics problems",2008-06-05
"Ryanair B738 at Bournemouth on June 3rd 2008, unruly passengers",2008-06-05
"Virgin Atlantic B744 at Tobago on May 29th 2008, 24 hours delay for unknown reason",2008-06-05
"Virgin Atlantic B744 near Bridgetown on May 31st 2008, mechanical problems",2008-06-05
"Wizzair A320 near Glasgow on June 3rd 2008, unruly passenger",2008-06-05
"Air Tahiti Nui loses second A340 due to maintenance, Jun 2nd 2008",2008-06-06
"Cargojet B72F at St. John's on June 5th 2008, flaps problems",2008-06-06
"Compass E175 near Fargo on May 8th 2008, fire in bathroom",2008-06-06
"Firefighters enable plane landing, Jun 5th 2008",2008-06-06
Four people arrested after lasering multiple aircraft,2008-06-06
Melbourne to receive Australia's first Cat. III landing system,2008-06-06
"Radar Outage caused huge delays at Dublin Airport, June 5th 2008",2008-06-06
"Towed plane overtakes tug at DFW, June 2nd 2008",2008-06-06
"Tradewinds  A300 at Greensboro on June 5th 2008, brakes fire",2008-06-06
"Aerocondor B732 at Pucallpa on June 6th 2008, bird strike",2008-06-07
"Austrian Airlines F100 near Rome on Jun 5th 2008, leaking door seal",2008-06-07
"Calm Air SF34 at Winnipeg on June 6th 2008, generator problem",2008-06-07
"Dog halts Mumbai Airport, Jun 6th 2008",2008-06-07
"Finnair A343 over Russia on Jun 4th 2008, escorted by fighters",2008-06-07
"Japan Airlines MD81 at Tokyo on June 7th 2008, engine shut down",2008-06-07
Moscow Cheremetievo to receive third runway in 2015,2008-06-07
"Shuttle America E170 at Ottawa on June 5th 2008, runway incursion",2008-06-07
"Southwest B73G at Denver on June 6th 2008, smoke in cabin",2008-06-07
"Hawaiian Airlines B763 at San Diego on June 3rd 2008, rejected takeoff",2008-06-08
"Qatar Airways A306 at Khartoum on June 7th 2008, engine fire before takeoff",2008-06-08
"American MD83 near Dallas on June 6th 2008, engine failure",2008-06-09
"Cyprus Airways A320 near Cyprus on June 8th 2008, technical problem",2008-06-09
"Qantas B763 at Sydney on June 8th 2008, green laser pointed at cockpit",2008-06-09
"Southwest B733 near Wichita Falls on June 8th 2008, smell of smoke",2008-06-09
"Air Canada A320 at Toronto on June 6th 2008, hydraulics problem",2008-06-10
"Air China A319 over China on June 4th 2008, developing hole in wing",2008-06-10
"Delta Airlines B752 near Keflavik on June 8th 2008, medical emergency",2008-06-10
"Indian Airlines A320 at Khozikode on June 10th 2008, hydraulics problem",2008-06-10
"Jazz CRJ1 at Montreal on June 7th 2008, engine failure",2008-06-10
"LOT B763 near Goose Bay on June 6th 2008, medical emergency",2008-06-10
"Skywest E120 at Los Angeles on June 8th 2008, runway incursion",2008-06-10
"Air Canada B762 and Westjet B73W  at Vancouver on June 10th 2008, TCAS resolution advisory",2008-06-11
"bmi A320 near London on June 10th 2008, engine trouble",2008-06-11
"Comair CRJ1 near Montreal on June 9th 2008, flaps problems",2008-06-11
"Jazz DH8A at North Bay on June 10th 2008, could not lock gear",2008-06-11
"Philippine Airlines A343 at Vancouver on May 25th 2008, rejected takeoff",2008-06-11
"CommutAir DH8B near Charleston on June 11th 2008, unusual vibrations",2008-06-12
"Lisboa Airport without fuel, June 11th 2008",2008-06-12
"Pinnacle CRJ at Traverse City on Apr 12th 2007, overshot runway on landing in snow",2008-06-12
"Virgin Atlantic B744 at London Gatwick on March 20th 2007, right engine pods touch ground on landing",2008-06-12
"Aerocondor B732 at Cajamarca on Jun 10th 2008, rejected takeoff due to engine trouble",2008-06-13
"Allegiant Air MD82 at Bellingham on June 11th 2008, struck object on descent",2008-06-13
