orig_text,reporting_date
"Quatar Airways A300 near Delhi on June 22nd 2006, initiated emergency descent and diverted to Delhi",2006-06-23
"Cirrus EMB145 at Nürnberg on June 28th 2006, overran runway after return because of smoke in cockpit",2006-06-27
"TAM Fokker 100 near Sao Paulo on Aug 8th 2006, door fell off in flight",2006-07-25
"US Airways B737 at Miami on August 31st 2006, two tires blown on landing resulting in fire and evacuation",2006-08-28
"European Air Charter B737 near Bournemouth on August 31st 2006, Windshield cracked, Wales national football team on board",2006-09-01
"Iran Airtours TU-154M at Mashhad on Sep 1st 2006, blew tire on landing and veered off runway",2006-09-01
"Presidential Kyrgyz TU-154 at Bishkek on Sep 29th 2006, collided with a KC-135 fuel tanker on takeoff run and continued",2006-10-01
"SkyWest CRJ700 at LAX on Oct 6th 2006, rejected takeoff at 100 KIAS and stopped 100 feet before a Gulfstream bizjet",2006-10-05
"Atlantic Airways BAe 146 at Stord, Norway on Oct 10th 2006, skidded off runway during unplanned landing",2006-10-08
"Emirates A330 at Dubai on October 17th 2006, suffered uncontained engine failure in flight, safe landing",2006-10-19
"ADC B737 at Abuja, Nigeria on Oct 29th 2006, shortly after takeoff in a storm",2006-10-26
"Horizon Air Dash8 at Seattle on Dec 2nd 2006, overran runway on CATIII landing",2006-12-06
"Frontier A319 and Key Lime Metroliner at Denver Airport on Jan 5th 2007, go around avoided collision by 50 feet",2007-01-05
"Aeriantur AN26 in Balad/Iraq on Jan 9th 2007, clipped a pole on second approach in fog",2007-01-08
"Onur MD-88 at Istanbul on Jan 1st 2007, cargo door opened at takeoff, bags lost, safe landing",2007-01-10
"Continental B737-900 over Texas on Jan 20th 2007, captain collapses and dies, first officer lands safely",2007-01-19
"Air Nostrum CRJ-200 at Barcelona on Jan 24th 2007, gear could not be lowered, belly landing",2007-01-23
"Air Nostrum Dash8-300 at Barcelona on Jan 23rd 2007, gear failed to lower, belly landing",2007-01-25
"Air France Fokker 100 at Pau on Jan 25th 2007, aircraft on takeoff collided with lorry",2007-01-26
"Mesa CL600 near Denver on Jan 25th 2007, engine separated while climbing through FL240, safe landing",2007-01-26
"Alitalia E145 and Eurowings B463 at Dusseldorf on Feb 6th 2007,  ATC reports B463 taking off over E145, airlines deny",2007-02-02
"Hapag Fly B737 at Fuerteventura on Feb 9th 2007, airplane lost two wheels on takeoff and rejected",2007-02-07
"Canadair CRJ-100 at Moscow on Feb 13th 2007, engine fire on takeoff",2007-02-12
"Berkud TU-154 and Algerian C-130 over Switzerland on Feb 8th 2007, near miss, 100 feet vertical/2000 feet lateral separation",2007-02-19
"Adam Air B737 at Surabaya on Feb 21st 2007, very hard  touchdown breaks fuselage",2007-02-20
"British Airways B744 near Bali on Feb 19th 2007, diverted to Bali after smoke in the cabine",2007-02-20
"American Airlines B757 at Dallas/Ft.Worth on Aug 30th 2006, ATC denies requested runway despite emergency call",2007-02-22
"Biman A310 at Dubai on Mar 12th 2007, nose gear collapsed during takeoff run",2007-03-09
"Air Canada A320 at Las Vegas, March 13th 2007, rejected takeoff with left main gear and both engines damaged",2007-03-14
"Elal B737 at Tel Aviv on Mar 15th 2007, bird at the controls prevents takeoff",2007-03-16
"Garuda B737 at Palangkaraya on Mar 13th 2007, flames and sparks during takeoff run, rejected",2007-03-17
"SAS MD-82 over Manchester on Mar 16th 2007, smoke in the cockpit, diverted to Manchester",2007-03-17
"UTAir Tu-134 at Samara on Mar 17th 2007, broke apart on landing",2007-03-17
"Alaskan B732 at Juneau on Mar 30th 1987, collided with a fish in midair",2007-03-18
"Continental B777 at Newark on Mar 20th 2007, engine failure prompts rejected takeoff",2007-03-19
"Ariana A300 at Istanbul on  Mar 23rd 2007, overshot runway on landing",2007-03-22
"Lufthansa A340 at Frankfurt on Mar 7th 2007, 2 bombs aboard, takeoff averted after bomb threats",2007-03-22
"Qantas A330 between Manila and Sydney (no date), crew oxygen turned off",2007-03-22
"RyanAir B738 at Dublin on Mar 20th 2007, tailstrike during takeoff",2007-03-22
"United B763 at Chicago (ORD) on  Mar 15th 2007, multiple bird strikes on takeoff past V1",2007-03-24
"VLM F50 at Southend on Mar 24th 2007, safe emergency landing despite nose gear collapse",2007-03-24
"Thomsonfly B738 at Gatwick on Mar 23rd 2007, engine malfunction",2007-03-25
"US Airways B734 at Charlotte on Mar 23th 2007, smallpox scare",2007-03-25
"Atlantic Elektra L188 at Stansted on Mar 23rd 2007, 3 engines failed",2007-03-26
